Nucleotide,Family,Genus,Species,Strain,Genotype,Segment,H5 Clade,Subclade,Host Group,Geographic Location,Host Common Name
1,PV070684,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/hooded merganser/South Carolina/W24-028/2024,H5N1,8.0,2.3.4.4b,C2.1,Avian,USA,Hooded Merganser
2,PV070691,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/wood duck/North Carolina/W24-026/2024,H5N1,1.0,2.3.4.4b,C2.1,Avian,USA,Wood duck
3,PV070699,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Texas/37/2024,H5N1,3.0,2.3.4.4b,B3.13,Human,USA: Texas,Human
4,PV070700,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/canada_goose/Indiana/24-005146-001/2024,H5N1,4.0,2.3.4.4b,B3.7,Avian,USA,Goose
5,PV070708,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Ohio/24-005334-001/2024,H5N1,8.0,2.3.4.4b,B3.6,Avian,USA,Chicken
6,PV070715,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Ohio/24-005334-002/2024,H5N1,2.0,2.3.4.4b,B3.6,Avian,USA,Chicken
7,PV070722,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/snow_goose/California/24-004881-004/2024,H5N1,7.0,2.3.4.4b,B3.2,Avian,USA,Snow Goose
8,PV070736,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Maryland/24-005539-001/2024,H5N1,8.0,2.3.4.4b,B3.6,Avian,USA,Chicken
9,PV070742,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Maryland/24-005539-002/2024,H5N1,3.0,2.3.4.4b,B3.6,Avian,USA,Chicken
10,PV070748,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/turkey/Missouri/24-005371-001/2024,H5N1,1.0,2.3.4.4b,B3.12,Avian,USA,Turkey
11,PV070755,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/turkey/Missouri/24-005372-001/2024,H5N1,7.0,2.3.4.4b,B3.12,Avian,USA,Turkey
12,PV070762,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/turkey/Missouri/24-005372-002/2024,H5N1,8.0,2.3.4.4b,B3.12,Avian,USA,Turkey
13,PV070776,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/skunk/Washington/24-005959-004/2024,H5N1,4.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Skunk
