Genome ID,Genome Name,Other Names,Family,Genus,Species,Strain,Serovar,Segment,Subtype,H5 Clade,Clade,Subclade,Completion Date,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Size,GC Content,Collection Date,Collection Year,Geographic Group,Geographic Location,Host Name,Host Common Name,Host Group,Date Inserted,Date Modified
11320.5884,Influenza A virus A/Cattle/USA/24-008766-001-v/2024,,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-008766-001-v/2024,,4,H5N1,2.3.4.4b,,B3.13,,PRJNA1102327,SAMN41019210,,SRR28752476,,1704,41.78404,2024,2024,North America,USA,Cattle,Cow,Nonhuman Mammal,2024-06-09T21:02:30.513Z,2024-06-09T21:02:30.513Z
11320.5884,Influenza A virus A/Cattle/USA/24-008766-001-v/2024,,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-008766-001-v/2024,,6,H5N1,2.3.4.4b,,B3.13,,PRJNA1102327,SAMN41019210,,SRR28752476,,1410,43.90071,2024,2024,North America,USA,Cattle,Cow,Nonhuman Mammal,2024-06-09T21:02:30.676Z,2024-06-09T21:02:30.676Z
11320.5884,Influenza A virus A/Cattle/USA/24-008766-001-v/2024,,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-008766-001-v/2024,,5,H5N1,2.3.4.4b,,B3.13,,PRJNA1102327,SAMN41019210,,SRR28752476,,1497,47.56179,2024,2024,North America,USA,Cattle,Cow,Nonhuman Mammal,2024-06-09T21:02:30.191Z,2024-06-09T21:02:30.191Z
11320.5884,Influenza A virus A/Cattle/USA/24-008766-001-v/2024,,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-008766-001-v/2024,,7,H5N1,2.3.4.4b,,B3.13,,PRJNA1102327,SAMN41019210,,SRR28752476,,982,49.6945,2024,2024,North America,USA,Cattle,Cow,Nonhuman Mammal,2024-06-09T21:02:30.430Z,2024-06-09T21:02:30.430Z
11320.58841,Influenza A virus A/Cattle/USA/24-008766-001-v/2024,,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-008766-001-v/2024,,3,H5N1,2.3.4.4b,,B3.13,,PRJNA1102327,SAMN41019210,,SRR28752476,,2151,44.211994,2024,2024,North America,USA,Cattle,Cow,Nonhuman Mammal,2024-06-09T21:02:30.351Z,2024-06-09T21:02:30.351Z
11320.58841,Influenza A virus A/Cattle/USA/24-008766-001-v/2024,,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-008766-001-v/2024,,8,H5N1,2.3.4.4b,,B3.13,,PRJNA1102327,SAMN41019210,,SRR28752476,,838,45.942722,2024,2024,North America,USA,Cattle,Cow,Nonhuman Mammal,2024-06-09T21:02:30.271Z,2024-06-09T21:02:30.271Z
11320.58841,Influenza A virus A/Cattle/USA/24-008766-001-v/2024,,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-008766-001-v/2024,,1,H5N1,2.3.4.4b,,B3.13,,PRJNA1102327,SAMN41019210,,SRR28752476,,2280,45.350876,2024,2024,North America,USA,Cattle,Cow,Nonhuman Mammal,2024-06-09T21:02:30.595Z,2024-06-09T21:02:30.595Z
11320.58841,Influenza A virus A/Cattle/USA/24-008766-001-v/2024,,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-008766-001-v/2024,,2,H5N1,2.3.4.4b,,B3.13,,PRJNA1102327,SAMN41019210,,SRR28752476,,2274,42.348286,2024,2024,North America,USA,Cattle,Cow,Nonhuman Mammal,2024-06-09T21:02:31.179Z,2024-06-09T21:02:31.179Z
11320.58842,Influenza A virus A/Skunk/USA/24-006483-001/2024,,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Skunk/USA/24-006483-001/2024,,4,H5N1,2.3.4.4b,,B3.13,,PRJNA1102327,SAMN41019181,,SRR28752522,,1704,41.78404,2024,2024,North America,USA,Skunk,Skunk,Nonhuman Mammal,2024-06-09T21:02:31.579Z,2024-06-09T21:02:31.579Z
11320.58842,Influenza A virus A/Skunk/USA/24-006483-001/2024,,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Skunk/USA/24-006483-001/2024,,6,H5N1,2.3.4.4b,,B3.13,,PRJNA1102327,SAMN41019181,,SRR28752522,,1410,44.042553,2024,2024,North America,USA,Skunk,Skunk,Nonhuman Mammal,2024-06-09T21:02:31.496Z,2024-06-09T21:02:31.496Z
